| 完整的论文名称                                                                                                          | 简要说明                                                                                                     | 论文 PDF 链接                                                            | GitHub 链接                                                                                                          | GitHub Star | 发表会议名称             | 发表时间      |
| ---------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------ | ----------: | ------------------ | --------- |
| **Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory**                                     | 工程化长期记忆层，动态抽取、合并、检索 salient memory，并支持 graph memory。                                                     | [https://arxiv.org/pdf/2504.19413](https://arxiv.org/pdf/2504.19413) | [https://github.com/mem0ai/mem0](https://github.com/mem0ai/mem0)                                                   |       57.9k | arXiv              | 2025年4月   |
| **Zep: A Temporal Knowledge Graph Architecture for Agent Memory**                                                | 用 Graphiti 构建 temporal knowledge graph，面向企业 agent memory 的动态知识整合和时间关系。                                   | [https://arxiv.org/pdf/2501.13956](https://arxiv.org/pdf/2501.13956) | [https://github.com/getzep/graphiti](https://github.com/getzep/graphiti)                                           |       27.1k | arXiv              | 2025年1月   |
| **MemGPT: Towards LLMs as Operating Systems**                                                                    | OS 启发的虚拟上下文管理，把 memory 分为 main context、recall storage、archival storage 等层级；当前工程项目已演化为 Letta。             | [https://arxiv.org/pdf/2310.08560](https://arxiv.org/pdf/2310.08560) | [https://github.com/letta-ai/letta](https://github.com/letta-ai/letta)                                             |       23.2k | arXiv              | 2023年10月  |
| **MemOS: An Operating System for Memory-Augmented Generation (MAG) in Large Language Models**                    | 把 memory 作为一等资源管理，提出 MemCube，统一 parametric / activation / plaintext memory 生命周期。                         | [https://arxiv.org/pdf/2505.22101](https://arxiv.org/pdf/2505.22101) | [https://github.com/MemTensor/MemOS](https://github.com/MemTensor/MemOS)                                           |        9.7k | arXiv              | 2025年5月   |
| **MIRIX: Multi-Agent Memory System for LLM-Based Agents**                                                        | 多 memory agent 协调六类记忆：Core、Episodic、Semantic、Procedural、Resource、Knowledge Vault。                        | [https://arxiv.org/pdf/2507.07957](https://arxiv.org/pdf/2507.07957) | [https://github.com/Mirix-AI/MIRIX](https://github.com/Mirix-AI/MIRIX)                                             |        3.6k | arXiv              | 2025年7月   |
| **SimpleMem: Efficient Lifelong Memory for LLM Agents**                                                          | 语义结构化压缩、在线语义合成、意图感知检索，用低 token 成本支持 lifelong memory。                                                     | [https://arxiv.org/pdf/2601.02553](https://arxiv.org/pdf/2601.02553) | [https://github.com/aiming-lab/SimpleMem](https://github.com/aiming-lab/SimpleMem)                                 |        3.5k | arXiv              | 2026年1月   |
| **LangMem: Long-Term Memory for AI Agents**                                                                      | LangChain / LangGraph 的 agent memory SDK，提供 memory extraction、prompt optimization、long-term memory 管理接口。 | 无独立论文 PDF                                                            | [https://github.com/langchain-ai/langmem](https://github.com/langchain-ai/langmem)                                 |        1.5k | 工程项目 / SDK         | 2025年2月左右 |
| **Memory OS of AI Agent**                                                                                        | 又称 MemoryOS；短期、中期、长期个人记忆分层管理，包含 storage、updating、retrieval、generation。                                   | [https://arxiv.org/pdf/2506.06326](https://arxiv.org/pdf/2506.06326) | [https://github.com/BAI-LAB/MemoryOS](https://github.com/BAI-LAB/MemoryOS)                                         |        1.4k | EMNLP 2025 Oral    | 2025年11月  |
| **A-MEM: Agentic Memory for LLM Agents**                                                                         | 基于 Zettelkasten 的 agentic memory；新增 memory 时自动生成 note、关键词、标签，并建立历史链接。                                    | [https://arxiv.org/pdf/2502.12110](https://arxiv.org/pdf/2502.12110) | [https://github.com/agiresearch/A-mem](https://github.com/agiresearch/A-mem)                                       |          1k | arXiv              | 2025年2月   |
