| 完整的论文名称                                                                                                             | 简要说明                                                                                                                | 论文 PDF 链接                                                            | GitHub 链接                                                                                                          | 发表会议名称                | 发表时间                                                                          | 发表情况 |
| ------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------ | --------------------- | ----------------------------------------------------------------------------- | ---------- |
| **SimpleMem: Efficient Lifelong Memory for LLM Agents**                                                             | 语义结构化压缩 + 在线语义合成 + 意图感知检索，用低 token 成本支持 lifelong memory。                                                            | [https://arxiv.org/pdf/2601.02553](https://arxiv.org/pdf/2601.02553) | [https://github.com/aiming-lab/SimpleMem](https://github.com/aiming-lab/SimpleMem)                                 | arXiv                 | 2026年1月，最新版 v3：2026年1月29日 ([arXiv][1])                                        | arXiv |
| **MemEvolve: Meta-Evolution of Agent Memory Systems**                                                               | 让 memory architecture 本身可进化；同时提出 EvolveLab，把多个 memory 系统模块化为 encode/store/retrieve/manage。                          | [https://arxiv.org/pdf/2512.18746](https://arxiv.org/pdf/2512.18746) | [https://github.com/bingreeky/MemEvolve](https://github.com/bingreeky/MemEvolve)                                   | ICML 2026；arXiv 预印本   | 会议：2026年7月；arXiv v1：2025年12月21日 ([arXiv][2])                                  | ICML 2026 |
| **When to Memorize and When to Stop: Gated Recurrent Memory for Long-Context Reasoning**                            | 又称 **GRU-Mem**；在 MemAgent 式 recurrent memory 中加入 update gate 和 exit gate，控制何时写记忆、何时停止。                              | [https://arxiv.org/pdf/2602.10560](https://arxiv.org/pdf/2602.10560) | 未确认公开代码库；项目页：[https://alphalab-ustc.github.io/grumem-alphalab/](https://alphalab-ustc.github.io/grumem-alphalab/)  | arXiv                 | 2026年2月11日 ([arXiv][3])                                                       | arXiv |
| **Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates**                  | 又称 **JitRL**；不更新模型参数，通过检索历史经验并调节 logits 实现 test-time continual adaptation。                                          | [https://arxiv.org/pdf/2601.18510](https://arxiv.org/pdf/2601.18510) | [https://github.com/liushiliushi/JitRL](https://github.com/liushiliushi/JitRL)                                     | arXiv                 | 2026年1月26日 ([arXiv][4])                                                       | arXiv |
| **MemOCR: Layout-Aware Visual Memory for Efficient Long-Horizon Reasoning**                                         | 把历史记忆渲染成视觉布局图像，用标题、加粗、高亮等方式控制信息密度。                                                                                  | [https://arxiv.org/pdf/2601.21468](https://arxiv.org/pdf/2601.21468) | [https://github.com/meituan/MemOCR](https://github.com/meituan/MemOCR)                                             | arXiv                 | 2026年1月29日 ([arXiv][5])                                                       | arXiv |
| **Darwinian Memory: A Training-Free Self-Regulating Memory System for GUI Agent Evolution**                         | GUI agent 记忆系统；把记忆看作可进化生态，通过 utility-driven natural selection 淘汰低价值/高风险 memory。                                     | [https://arxiv.org/pdf/2601.22528](https://arxiv.org/pdf/2601.22528) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年1月30日 ([arXiv][6])                                                       | arXiv |
| **Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory**                                               | 又称 **BudgetMem**；根据 query 选择 Low/Mid/High 预算档 memory 模块，控制效果-成本权衡。                                                  | [https://arxiv.org/pdf/2602.06025](https://arxiv.org/pdf/2602.06025) | [https://github.com/ViktorAxelsen/BudgetMem](https://github.com/ViktorAxelsen/BudgetMem)                           | ICML 2026；arXiv 预印本   | 会议：2026年7月；arXiv 最新版 v3：2026年5月27日 ([arXiv][7])                               | ICML 2026 |
| **Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory**                                        | 工程化长期记忆层，动态抽取、合并、检索 salient memory，并有 graph memory 版本。                                                              | [https://arxiv.org/pdf/2504.19413](https://arxiv.org/pdf/2504.19413) | [https://github.com/mem0ai/mem0](https://github.com/mem0ai/mem0)                                                   | arXiv                 | 2025年4月28日 ([arXiv][8])                                                       | arXiv |
| **LightMem: Lightweight and Efficient Memory-Augmented Generation**                                                 | 受 Atkinson-Shiffrin 记忆模型启发，分 sensory / short-term / long-term memory，强调低开销和 sleep-time update。                      | [https://arxiv.org/pdf/2510.18866](https://arxiv.org/pdf/2510.18866) | [https://github.com/zjunlp/LightMem](https://github.com/zjunlp/LightMem)                                           | ICLR 2026             | 会议：2026年4月；OpenReview 显示 ICLR 2026 Poster；arXiv：2025年10月21日 ([OpenReview][9]) | ICLR 2026 poster |
