| 完整的论文名称                                                                                                             | 简要说明                                                                                                                | 论文 PDF 链接                                                            | GitHub 链接                                                                                                          | 发表会议名称                | 发表时间                                                                          |
| ------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------ | --------------------- | ----------------------------------------------------------------------------- |
| **When to Memorize and When to Stop: Gated Recurrent Memory for Long-Context Reasoning**                            | 又称 **GRU-Mem**；在 MemAgent 式 recurrent memory 中加入 update gate 和 exit gate，控制何时写记忆、何时停止。                              | [https://arxiv.org/pdf/2602.10560](https://arxiv.org/pdf/2602.10560) | 未确认公开代码库；项目页：[https://alphalab-ustc.github.io/grumem-alphalab/](https://alphalab-ustc.github.io/grumem-alphalab/)  | arXiv                 | 2026年2月11日 ([arXiv][3])                                                       |
| **Darwinian Memory: A Training-Free Self-Regulating Memory System for GUI Agent Evolution**                         | GUI agent 记忆系统；把记忆看作可进化生态，通过 utility-driven natural selection 淘汰低价值/高风险 memory。                                     | [https://arxiv.org/pdf/2601.22528](https://arxiv.org/pdf/2601.22528) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年1月30日 ([arXiv][6])                                                       |
| **Mem-α: Learning Memory Construction via Reinforcement Learning**                                                  | 用 RL 训练 agent 学会何时、如何构建和更新 memory。                                                                                  | [https://arxiv.org/pdf/2509.25911](https://arxiv.org/pdf/2509.25911) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年9月30日 ([arXiv][12])                                                      |
| **OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory**                                             | 把历史轨迹渲染为带视觉锚点的图像，通过 locate-and-transcribe 取回原文，降低 prompt token 成本。                                                  | [https://arxiv.org/pdf/2604.26622](https://arxiv.org/pdf/2604.26622) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年4月29日 ([arXiv][13])                                                      |
| **FSFM: A Biologically-Inspired Framework for Selective Forgetting of Agent Memory**                                | 选择性遗忘框架；面向效率、质量、安全，删除或衰减冗余、过时、恶意和隐私敏感 memory。                                                                       | [https://arxiv.org/pdf/2604.20300](https://arxiv.org/pdf/2604.20300) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年4月22日 ([arXiv][14])                                                      |
| **Belief Memory: Agent Memory Under Partial Observability**                                                         | 又称 **BeliefMem**；在部分可观测环境中保存多个候选结论和概率，用 Noisy-OR 更新信念。                                                              | [https://arxiv.org/pdf/2605.05583](https://arxiv.org/pdf/2605.05583) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月7日 ([arXiv][15])                                                       |
| **VikingMem: A Memory Base Management System for Stateful LLM-based Applications**                                  | Memory Base 管理系统；事件-实体模型、实体状态更新、时间压缩、多路径检索。                                                                         | [https://arxiv.org/pdf/2605.29640](https://arxiv.org/pdf/2605.29640) | 未确认公开代码库                                                                                                           | arXiv                 | 2026年5月28日 ([arXiv][18])                                                      |
| **LEGOMem: Modular Procedural Memory for Multi-agent LLM Systems for Workflow Automation**                          | 多智能体 workflow procedural memory；把成功轨迹拆成 full-task memory 和 subtask memory。                                          | [https://arxiv.org/pdf/2510.04851](https://arxiv.org/pdf/2510.04851) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年10月6日 ([arXiv][21])                                                      |
| **Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory**             | 每个 agent 维护自身 structured contextual memory，强调 agent 角色异质性。                                                          | [https://arxiv.org/pdf/2508.08997](https://arxiv.org/pdf/2508.08997) | 未确认公开代码库                                                                                                           | arXiv                 | 2025年8月                                                                       |
